,card_name,card_rarity,card_number,market_price,median_price
100,Mimikyu V,Ultra Rare,062/163,1.64,
101,Mimikyu V (Full Art),Ultra Rare,148/163,23.81,
102,Morpeko,Uncommon,098/163,0.07,0.15
103,Murkrow,Common,093/163,0.05,0.10
104,Necrozma V,Ultra Rare,063/163,1.50,1.75
105,Necrozma V (Full Art),Ultra Rare,149/163,8.01,
106,Octillery,Holo Rare,037/163,1.45,
107,Octillery (Secret),Secret Rare,178/163,31.03,
108,Onix,Common,068/163,0.06,0.10
109,Orbeetle,Holo Rare,065/163,0.43,
110,Pachirisu,Common,049/163,0.05,0.10
111,Pawniard,Common,103/163,0.06,0.10
112,Phoebe,Uncommon,130/163,0.13,0.25
113,Phoebe (Full Art),Ultra Rare,161/163,43.06,
114,Phoebe (Secret),Secret Rare,175/163,43.73,
115,Pignite,Uncommon,024/163,0.05,0.11
116,Primeape,Rare,067/163,0.26,0.29
117,Purugly,Uncommon,116/163,0.06,0.15
118,Rapid Strike Energy,Uncommon,140/163,0.40,0.40
119,Rapid Strike Energy (Secret),Secret Rare,182/163,20.15,
120,Rapid Strike Scroll of Swirls,Uncommon,131/163,0.12,0.25
121,Rapid Strike Style Mustard,Uncommon,132/163,0.14,0.25
122,Rapid Strike Style Mustard (Full Art),Ultra Rare,162/163,9.34,
123,Rapid Strike Style Mustard (Secret),Secret Rare,176/163,15.13,
124,Rapid Strike Urshifu V,Ultra Rare,087/163,5.44,
125,Rapid Strike Urshifu V (Alternate Full Art),Ultra Rare,153/163,35.13,
126,Rapid Strike Urshifu V (Full Art),Ultra Rare,152/163,20.28,
127,Rapid Strike Urshifu VMAX,Ultra Rare,088/163,23.05,
128,Rapid Strike Urshifu VMAX (Alternate Art Secret),Secret Rare,170/163,143.25,
129,Rapid Strike Urshifu VMAX (Secret),Secret Rare,169/163,42.86,
130,Remoraid,Common,036/163,0.09,0.10
131,Rolycoly,Common,078/163,0.04,0.10
132,Salandit,Common,027/163,0.06,0.10
133,Salazzle,Rare,028/163,0.54,0.53
134,Sandaconda,Holo Rare,082/163,0.36,
135,Scatterbug,Common,011/163,0.05,0.10
136,Seadra,Uncommon,032/163,0.12,0.15
137,Shinx,Common,046/163,0.06,0.10
138,Silicobra,Common,081/163,0.06,0.10
139,Single Strike Energy,Uncommon,141/163,0.41,0.40
140,Single Strike Energy (Secret),Secret Rare,183/163,18.97,
141,Single Strike Scroll of Scorn,Uncommon,133/163,0.23,0.25
142,Single Strike Style Mustard,Uncommon,134/163,0.18,0.25
143,Single Strike Style Mustard (Full Art),Ultra Rare,163/163,6.66,
144,Single Strike Style Mustard (Secret),Secret Rare,177/163,21.04,
145,Single Strike Urshifu V,Ultra Rare,085/163,3.80,
146,Single Strike Urshifu V (Alternate Full Art),Ultra Rare,151/163,30.85,
147,Single Strike Urshifu V (Full Art),Ultra Rare,150/163,13.43,
148,Single Strike Urshifu VMAX,Ultra Rare,086/163,16.91,
149,Single Strike Urshifu VMAX (Alternate Art Secret),Secret Rare,168/163,77.87,
150,Single Strike Urshifu VMAX (Secret),Secret Rare,167/163,35.98,
151,Sizzlipede,Common,029/163,0.04,0.10
152,Sordward & Shielbert,Uncommon,135/163,0.09,0.20
153,Spearow,Common,111/163,0.06,0.10
154,Spewpa,Uncommon,012/163,0.06,0.13
155,Spoink,Common,055/163,0.06,0.11
156,Steelix,Holo Rare,099/163,0.38,
157,Stonjourner,Rare,084/163,0.08,0.20
158,Stoutland V,Ultra Rare,117/163,1.23,
159,Stoutland V (Full Art),Ultra Rare,157/163,6.53,
160,Tapu Bulu,Holo Rare,016/163,0.44,
161,Tapu Koko V,Ultra Rare,050/163,1.73,
162,Tapu Koko V (Full Art),Ultra Rare,147/163,6.49,
163,Tapu Koko VMAX,Ultra Rare,051/163,3.79,
164,Tapu Koko VMAX (Secret),Secret Rare,166/163,16.62,
165,Tepig,Common,023/163,0.05,0.10
166,Timburr,Common,073/163,0.06,0.10
167,Tool Jammer,Uncommon,136/163,0.16,0.23
168,Tower of Darkness,Uncommon,137/163,0.25,0.25
169,Tower of Waters,Uncommon,138/163,0.21,0.25
170,Tyranitar V,Ultra Rare,097/163,2.16,
171,Tyranitar V (Alternate Full Art),Ultra Rare,155/163,139.78,
172,Tyranitar V (Full Art),Ultra Rare,154/163,26.63,
173,Urn of Vitality,Uncommon,139/163,0.29,0.28
174,Victini V,Ultra Rare,021/163,1.51,
175,Victini V (Full Art),Ultra Rare,144/163,10.74,
176,Victini VMAX,Ultra Rare,022/163,11.85,
177,Victini VMAX (Secret),Secret Rare,165/163,24.38,
178,Victreebel,Rare,003/163,0.07,0.20
179,Vivillon,Rare,013/163,0.07,0.15
180,Weepinbell,Uncommon,002/163,0.13,0.21
181,Yamper,Common,052/163,0.06,0.15
182,Zubat,Common,089/163,0.07,0.10
183,Bulbasaur,Promo,044/102,,
184,Charmander,Promo,046/102,,
185,Chespin,Promo,XY01,,
186,Chikorita,Promo,054/111,,
187,Chimchar,Promo,076/130,,
188,Cyndaquil,Promo,057/111,,
189,Fennekin,Promo,XY02,,
190,Froakie,Promo,XY03,,
191,Grookey,Promo,SWSH001,5.52,7.00
192,Litten,Promo,SM02,5.50,7.50
193,Mudkip,Promo,059/109,,
194,Oshawott,Promo,BW03,,
195,Pikachu,Promo,058/102,13.34,14.25
196,Piplup,Promo,093/130,,
197,Popplio,Promo,SM03,5.50,7.95
198,Rowlet,Promo,SM01,5.93,11.00
199,Scorbunny,Promo,SWSH002,5.42,5.99
200,Snivy,Promo,BW01,,
201,Sobble,Promo,SWSH003,5.57,6.96
202,Squirtle,Promo,063/102,,
203,Tepig,Promo,BW02,,
204,Torchic,Promo,074/109,,
205,Totodile,Promo,081/111,,
206,Treecko,Promo,076/109,,
207,Turtwig,Promo,103/130,,
208,Alcremie V (Full Art),Ultra Rare,064/072,4.61,
209,Alcremie VMAX (Secret),Secret Rare,073/072,3.66,
210,Ball Guy,Uncommon,057/072,0.14,0.25
211,Ball Guy (Full Art),Ultra Rare,065/072,9.83,
212,Bird Keeper (Full Art),Ultra Rare,066/072,8.49,
213,Boss's Orders,Rare,058/072,1.04,1.00
214,Buizel,Common,022/072,0.03,0.09
215,Cacnea,Common,004/072,0.03,0.07
216,Cara Liss (Full Art),Ultra Rare,067/072,7.27,
217,Celebi,Rare,003/072,0.44,0.47
218,Chewtle,Common,026/072,0.05,0.07
219,Cinderace V,Ultra Rare,018/072,1.05,
220,Cinderace VMAX,Ultra Rare,019/072,2.66,
221,Cramorant,Uncommon,028/072,0.03,0.10
222,Cramorant V,Ultra Rare,054/072,1.19,
223,Cramorant VMAX,Ultra Rare,055/072,2.89,
224,Crobat V,Ultra Rare,044/072,6.48,
225,Crobat VMAX,Ultra Rare,045/072,2.58,
226,Cufant,Common,049/072,0.03,0.08
227,Dartrix,Uncommon,007/072,0.04,0.10
228,Decidueye,Rare,008/072,0.57,
229,Dhelmise V,Ultra Rare,009/072,0.99,
230,Dhelmise VMAX,Ultra Rare,010/072,2.69,
231,Ditto V,Ultra Rare,050/072,1.69,
232,Ditto VMAX,Ultra Rare,051/072,3.10,
233,Drednaw,Rare,027/072,0.14,0.20
234,Eevee,Common,052/072,0.14,0.19
235,Eldegoss,Uncommon,015/072,0.04,0.10
236,Floatzel,Uncommon,023/072,0.02,0.10
237,Frosmoth,Rare,030/072,0.93,
238,Galarian Weezing,Rare,042/072,0.37,
239,Gossifleur,Common,014/072,0.03,0.07
240,Greedent V,Ultra Rare,053/072,1.11,
241,Grookey,Common,011/072,0.05,0.10
242,Gym Trainer,Uncommon,059/072,0.06,0.15
243,Gym Trainer (Full Art),Ultra Rare,068/072,4.59,
244,Horsea,Common,020/072,0.05,0.10
245,Indeedee,Rare,056/072,0.24,
246,Indeedee V,Ultra Rare,039/072,0.98,
247,Koffing,Common,041/072,0.07,0.14
248,Kyogre,Amazing Rare,021/072,7.88,
249,Luxio,Uncommon,032/072,0.06,0.10
250,Luxray,Rare,033/072,0.38,
251,Manaphy,Rare,024/072,0.21,0.29
252,Morpeko (035),Common,035/072,0.05,0.10
253,Morpeko (036),Common,036/072,0.03,0.10
254,Morpeko V,Ultra Rare,037/072,0.93,
255,Morpeko VMAX,Ultra Rare,038/072,2.80,
256,Nickit,Common,047/072,0.03,0.07
257,Piers (Full Art),Ultra Rare,069/072,11.09,
258,Poke Kid (Full Art),Ultra Rare,070/072,17.19,
259,Professor's Research,Rare,060/072,0.46,0.50
260,Reshiram,Amazing Rare,017/072,5.58,
261,Rillaboom,Rare,013/072,0.50,
262,Rose (Full Art),Ultra Rare,071/072,8.34,
263,Rotom,Uncommon,034/072,0.07,0.12
264,Rowlet,Common,006/072,0.08,0.10
265,Rusted Shield,Uncommon,061/072,0.09,0.20
266,Rusted Sword,Uncommon,062/072,0.18,0.25
267,Shinx,Common,031/072,0.04,0.08
268,Skyla (Full Art),Ultra Rare,072/072,41.72,
269,Snom,Common,029/072,0.18,0.19
270,Spinarak,Common,043/072,0.04,0.07
271,Team Yell Towel,Uncommon,063/072,0.05,0.15
272,Thievul,Rare,048/072,0.28,
273,Thwackey,Uncommon,012/072,0.06,0.10
274,Trapinch,Common,040/072,0.03,0.08
275,Tropius,Uncommon,005/072,0.04,0.10
276,Volcanion,Rare,025/072,0.14,0.20
277,Yanma,Common,001/072,0.03,0.08
278,Yanmega,Rare,002/072,0.13,0.25
279,Yveltal,Amazing Rare,046/072,5.82,
280,Zarude,Rare,016/072,0.21,0.25
281,Alcremie,Shiny Holo Rare,SV058/SV122,8.09,
282,Appletun,Shiny Holo Rare,SV014/SV122,9.98,
283,Applin,Shiny Holo Rare,SV012/SV122,7.68,
284,Arctovish,Shiny Holo Rare,SV037/SV122,5.60,
285,Arctozolt,Shiny Holo Rare,SV046/SV122,6.14,
286,Arrokuda,Shiny Holo Rare,SV031/SV122,4.85,
287,Barraskewda,Shiny Holo Rare,SV032/SV122,4.53,
288,Blipbug,Shiny Holo Rare,SV007/SV122,4.62,
289,Boltund,Shiny Holo Rare,SV040/SV122,6.53,
290,Bunnelby,Shiny Holo Rare,SV097/SV122,3.23,
291,Carkol,Shiny Holo Rare,SV068/SV122,5.07,
292,Centiskorch,Shiny Holo Rare,SV019/SV122,6.47,
293,Centiskorch V,Shiny Holo Rare,SV108/SV122,3.82,
294,Centiskorch VMAX,Shiny Holo Rare,SV109/SV122,8.78,
295,Charizard VMAX,Shiny Holo Rare,SV107/SV122,343.92,
296,Chewtle,Shiny Holo Rare,SV028/SV122,6.05,
297,Cinccino,Shiny Holo Rare,SV094/SV122,8.39,
298,Cinderace,Shiny Holo Rare,SV017/SV122,13.17,
299,Clobbopus,Shiny Holo Rare,SV072/SV122,6.07,
300,Coalossal,Shiny Holo Rare,SV069/SV122,5.32,
301,Copperajah,Shiny Holo Rare,SV091/SV122,4.87,
302,Corviknight,Shiny Holo Rare,SV089/SV122,3.37,
303,Corvisquire,Shiny Holo Rare,SV102/SV122,5.28,
304,Cramorant,Shiny Holo Rare,SV030/SV122,2.95,
305,Cufant,Shiny Holo Rare,SV090/SV122,4.65,
306,Dartrix,Shiny Holo Rare,SV002/SV122,7.83,
307,Decidueye,Shiny Holo Rare,SV003/SV122,11.42,
308,Dedenne,Shiny Holo Rare,SV051/SV122,4.24,
309,Ditto V,Shiny Holo Rare,SV118/SV122,11.23,
310,Ditto VMAX,Shiny Holo Rare,SV119/SV122,28.57,
311,Dottler,Shiny Holo Rare,SV008/SV122,5.20,
312,Dracovish,Shiny Holo Rare,SV036/SV122,7.21,
313,Dracozolt,Shiny Holo Rare,SV045/SV122,6.38,
314,Dragapult,Shiny Holo Rare,SV062/SV122,4.18,
315,Drakloak,Shiny Holo Rare,SV061/SV122,8.10,
316,Drednaw,Shiny Holo Rare,SV029/SV122,6.55,
317,Dreepy,Shiny Holo Rare,SV060/SV122,11.46,
318,Drizzile,Shiny Holo Rare,SV026/SV122,8.12,
319,Dubwool,Shiny Holo Rare,SV104/SV122,4.82,
320,Dubwool V,Shiny Holo Rare,SV120/SV122,3.21,
321,Ducklett,Shiny Holo Rare,SV095/SV122,5.35,
322,Duraludon,Shiny Holo Rare,SV092/SV122,5.14,
323,Eiscue,Shiny Holo Rare,SV035/SV122,6.17,
324,Eldegoss,Shiny Holo Rare,SV011/SV122,5.41,
325,Eternatus V,Shiny Holo Rare,SV121/SV122,19.16,
326,Eternatus VMAX,Shiny Holo Rare,SV122/SV122,23.29,
327,Falinks,Shiny Holo Rare,SV074/SV122,3.39,
328,Falinks V,Shiny Holo Rare,SV115/SV122,4.27,
329,Flapple,Shiny Holo Rare,SV013/SV122,9.26,
330,Frosmoth,Shiny Holo Rare,SV034/SV122,9.43,
331,Galarian Corsola,Shiny Holo Rare,SV049/SV122,4.77,
332,Galarian Cursola,Shiny Holo Rare,SV050/SV122,5.28,
333,Galarian Darmanitan,Shiny Holo Rare,SV024/SV122,5.57,
334,Galarian Darumaka,Shiny Holo Rare,SV023/SV122,5.25,
335,Galarian Farfetch'd,Shiny Holo Rare,SV063/SV122,5.94,
336,Galarian Linoone,Shiny Holo Rare,SV079/SV122,6.41,
337,Galarian Meowth,Shiny Holo Rare,SV086/SV122,7.72,
338,Galarian Mr. Mime,Shiny Holo Rare,SV020/SV122,6.01,
339,Galarian Mr. Rime,Shiny Holo Rare,SV021/SV122,3.86,
340,Galarian Obstagoon,Shiny Holo Rare,SV080/SV122,9.83,
341,Galarian Perrserker,Shiny Holo Rare,SV087/SV122,7.10,
342,Galarian Ponyta,Shiny Holo Rare,SV047/SV122,21.28,
343,Galarian Rapidash,Shiny Holo Rare,SV048/SV122,17.48,
344,Galarian Runerigus,Shiny Holo Rare,SV066/SV122,5.07,
345,Galarian Sirfetch'd,Shiny Holo Rare,SV064/SV122,3.27,
346,Galarian Stunfisk,Shiny Holo Rare,SV088/SV122,5.02,
347,Galarian Weezing,Shiny Holo Rare,SV077/SV122,9.20,
348,Galarian Yamask,Shiny Holo Rare,SV065/SV122,5.08,
349,Galarian Zigzagoon,Shiny Holo Rare,SV078/SV122,7.15,
350,Gossifleur,Shiny Holo Rare,SV010/SV122,5.82,
351,Grapploct,Shiny Holo Rare,SV073/SV122,5.77,
352,Greedent,Shiny Holo Rare,SV100/SV122,4.75,
353,Grimmsnarl,Shiny Holo Rare,SV085/SV122,7.51,
354,Grimmsnarl V,Shiny Holo Rare,SV116/SV122,3.49,
355,Grimmsnarl VMAX,Shiny Holo Rare,SV117/SV122,11.80,
356,Grookey,Shiny Holo Rare,SV004/SV122,4.78,
357,Hatenna,Shiny Holo Rare,SV054/SV122,4.85,
358,Hatterene,Shiny Holo Rare,SV056/SV122,6.87,
359,Hattrem,Shiny Holo Rare,SV055/SV122,6.34,
360,Impidimp,Shiny Holo Rare,SV083/SV122,5.65,
361,Indeedee,Shiny Holo Rare,SV059/SV122,4.34,
362,Indeedee V,Shiny Holo Rare,SV114/SV122,3.11,
363,Inteleon,Shiny Holo Rare,SV027/SV122,13.07,
364,Koffing,Shiny Holo Rare,SV076/SV122,15.03,
365,Lapras V,Shiny Holo Rare,SV110/SV122,9.62,
366,Lapras VMAX,Shiny Holo Rare,SV111/SV122,19.09,
367,Milcery,Shiny Holo Rare,SV057/SV122,5.50,
368,Minccino (145),Shiny Holo Rare,SV093/SV122,7.46,
369,Morgrem,Shiny Holo Rare,SV084/SV122,4.80,
370,Morpeko,Shiny Holo Rare,SV044/SV122,10.10,
371,Nickit,Shiny Holo Rare,SV081/SV122,4.70,
372,Oranguru,Shiny Holo Rare,SV098/SV122,7.85,
373,Orbeetle,Shiny Holo Rare,SV009/SV122,6.50,
374,Pincurchin,Shiny Holo Rare,SV043/SV122,6.01,
375,Polteageist,Shiny Holo Rare,SV053/SV122,4.03,
376,Raboot,Shiny Holo Rare,SV016/SV122,11.24,
377,Rillaboom,Shiny Holo Rare,SV006/SV122,8.65,
378,Rillaboom V,Shiny Holo Rare,SV105/SV122,3.97,
379,Rillaboom VMAX,Shiny Holo Rare,SV106/SV122,8.14,
380,Rolycoly,Shiny Holo Rare,SV067/SV122,4.33,
381,Rookidee,Shiny Holo Rare,SV101/SV122,6.77,
382,Rotom,Shiny Holo Rare,SV038/SV122,7.83,
383,Rowlet,Shiny Holo Rare,SV001/SV122,6.45,
384,Sandaconda,Shiny Holo Rare,SV071/SV122,5.02,
385,Scorbunny,Shiny Holo Rare,SV015/SV122,4.93,
386,Silicobra,Shiny Holo Rare,SV070/SV122,4.86,
387,Sinistea,Shiny Holo Rare,SV052/SV122,9.36,
388,Sizzlipede,Shiny Holo Rare,SV018/SV122,5.76,
389,Skwovet,Shiny Holo Rare,SV099/SV122,4.22,
390,Snom,Shiny Holo Rare,SV033/SV122,6.26,
391,Sobble,Shiny Holo Rare,SV025/SV122,5.15,
392,Stonjourner,Shiny Holo Rare,SV075/SV122,4.24,
393,Suicune,Shiny Holo Rare,SV022/SV122,52.03,
394,Swanna,Shiny Holo Rare,SV096/SV122,4.86,
395,Thievul,Shiny Holo Rare,SV082/SV122,4.80,
396,Thwackey,Shiny Holo Rare,SV005/SV122,9.17,
397,Toxel,Shiny Holo Rare,SV041/SV122,7.96,
398,Toxtricity,Shiny Holo Rare,SV042/SV122,3.42,
399,Toxtricity V,Shiny Holo Rare,SV112/SV122,3.62,
400,Toxtricity VMAX,Shiny Holo Rare,SV113/SV122,8.84,
401,Wooloo,Shiny Holo Rare,SV103/SV122,4.68,
402,Yamper,Shiny Holo Rare,SV039/SV122,13.35,
403,Bulbasaur,Promo,1/25,0.84,0.85
404,Charmander,Promo,9/25,1.03,1.00
405,Chespin,Promo,6/25,0.43,0.49
406,Chikorita,Promo,2/25,0.53,0.50
407,Chimchar,Promo,12/25,0.62,0.62
408,Cyndaquil,Promo,10/25,0.89,0.75
409,Fennekin,Promo,14/25,0.58,0.50
410,Froakie,Promo,22/25,0.49,0.50
411,Grookey,Promo,8/25,0.52,0.50
412,Litten,Promo,15/25,0.60,0.59
413,Mudkip,Promo,19/25,0.64,0.55
414,Oshawott,Promo,21/25,0.60,0.54
415,Pikachu,Promo,25/25,2.44,3.05
416,Piplup,Promo,20/25,0.62,0.52
417,Popplio,Promo,23/25,0.60,0.50
418,Rowlet,Promo,7/25,0.61,0.55
419,Scorbunny,Promo,16/25,0.84,0.57
420,Snivy,Promo,5/25,0.53,0.52
421,Sobble,Promo,24/25,0.63,0.60
422,Squirtle,Promo,17/25,0.99,0.99
423,Tepig,Promo,13/25,0.63,0.52
424,Torchic,Promo,11/25,0.68,0.68
425,Totodile,Promo,18/25,0.70,0.69
426,Treecko,Promo,3/25,0.63,0.50
427,Turtwig,Promo,4/25,0.73,0.56
428,Aegislash V,Ultra Rare,126/185,1.27,
429,Aegislash V (Full Art),Ultra Rare,177/185,9.73,
430,Aegislash VMAX,Ultra Rare,127/185,2.48,
431,Aegislash VMAX (Secret),Secret Rare,190/185,15.30,
432,Alakazam V (Full Art),Ultra Rare,172/185,6.90,
433,Alcremie,Rare,081/185,0.22,0.26
434,Allister,Uncommon,146/185,0.13,0.20
435,Allister (Full Art),Ultra Rare,179/185,17.01,
436,Allister (Secret),Secret Rare,192/185,23.42,
437,Ampharos V,Ultra Rare,049/185,1.50,
438,Ampharos V (Full Art),Ultra Rare,171/185,12.72,
439,Aromatic Grass Energy,Uncommon,162/185,0.20,0.25
440,Arrokuda,Common,041/185,0.07,0.15
441,Banette,Rare,068/185,0.29,0.34
442,Barraskewda,Rare,042/185,0.24,0.33
443,Bea,Uncommon,147/185,0.26,0.25
444,Bea (Full Art),Ultra Rare,180/185,35.37,
445,Bea (Secret),Secret Rare,193/185,35.54,
446,Beauty,Uncommon,148/185,0.12,0.25
447,Beauty (Full Art),Ultra Rare,181/185,16.08,
448,Beauty (Secret),Secret Rare,194/185,24.75,
449,Beedrill,Rare,003/185,0.19,0.25
450,Beldum,Common,116/185,0.10,0.11
451,Blitzle,Common,053/185,0.05,0.10
452,Cape of Toughness (Secret),Secret Rare,200/185,9.31,
453,Cara Liss,Uncommon,149/185,0.10,0.20
454,Celebi,Amazing Rare,009/185,11.52,
455,Charizard,Rare,025/185,4.40,5.00
456,Charmander,Common,023/185,0.13,0.23
457,Charmeleon,Uncommon,024/185,0.17,0.22
458,Chatot,Common,139/185,0.06,0.10
459,Chewtle,Common,038/185,0.08,0.13
460,Chimecho,Common,072/185,0.09,0.11
461,Circhester Bath,Uncommon,150/185,0.15,0.25
462,Clefable,Rare,064/185,0.28,0.30
463,Clefairy,Common,063/185,0.09,0.15
464,Clobbopus,Common,100/185,0.05,0.10
465,Coalossal V,Ultra Rare,098/185,1.42,
466,Coalossal V (Full Art),Ultra Rare,173/185,9.56,
467,Coalossal VMAX,Ultra Rare,099/185,3.84,
468,Coalossal VMAX (Secret),Secret Rare,189/185,19.81,
469,Coating Metal Energy,Uncommon,163/185,0.62,0.40
470,Cottonee,Common,075/185,0.07,0.10
471,Cramorant,Uncommon,040/185,0.08,0.15
472,Dedenne,Common,077/185,0.07,0.12
473,Dewott,Uncommon,034/185,0.08,0.15
474,Dhelmise,Uncommon,019/185,0.08,0.15
475,Dialga,Holo Rare,121/185,0.68,
476,Diancie,Holo Rare,079/185,0.54,
477,Donphan,Rare,087/185,0.25,0.29
478,Drapion V,Ultra Rare,106/185,1.18,
479,Drapion V (Full Art),Ultra Rare,175/185,7.46,
480,Drednaw,Rare,039/185,0.28,0.30
481,Drilbur,Common,091/185,0.06,0.10
482,Drone Rotom,Uncommon,151/185,0.09,0.20
483,Duraludon,Holo Rare,129/185,0.50,
484,Dusclops,Uncommon,070/185,0.08,0.15
485,Dusknoir,Holo Rare,071/185,0.49,
486,Duskull,Common,069/185,0.05,0.10
487,Eelektrik,Uncommon,058/185,0.09,0.15
488,Eelektross,Rare,059/185,0.24,0.25
489,Eevee,Common,130/185,0.14,0.20
490,Electrike,Common,051/185,0.06,0.10
491,Electrode,Holo Rare,046/185,0.56,
492,Excadrill,Uncommon,122/185,0.06,0.13
493,Exeggcute,Common,004/185,0.05,0.10
494,Exeggutor,Rare,005/185,0.19,0.25
495,Exploud,Rare,137/185,0.21,0.25
496,Ferroseed,Common,123/185,0.04,0.10
497,Ferrothorn,Uncommon,124/185,0.06,0.15
498,Flareon,Rare,026/185,0.33,0.42
499,Forretress,Rare,114/185,0.24,0.25
500,Galarian Darmanitan V,Ultra Rare,036/185,1.22,
501,Galarian Darmanitan V (Full Art),Ultra Rare,169/185,8.69,
502,Galarian Darmanitan VMAX,Ultra Rare,037/185,3.43,
503,Galarian Darmanitan VMAX (Secret),Secret Rare,187/185,14.21,
504,Galarian Meowth,Common,112/185,0.04,0.10
